Kod,Powiat,Płeć,Rok,Ludność,Bezrobotni,Ludność_wiek_prod,Wynagrodzenie_przeciętne
201000,Powiat bolesławiecki,ogółem,2015,90199,2375,57119,3548.69
201000,Powiat bolesławiecki,ogółem,2016,90180,1852,56465,3666.19
201000,Powiat bolesławiecki,ogółem,2017,90173,1389,55786,3901.94
201000,Powiat bolesławiecki,ogółem,2018,90200,1283,55216,4214.66
201000,Powiat bolesławiecki,ogółem,2019,90103,1293,54676,4545.34
201000,Powiat bolesławiecki,ogółem,2020,88524,1885,52714,4887.95
201000,Powiat bolesławiecki,ogółem,2021,88275,1570,52260,5461.94
201000,Powiat bolesławiecki,ogółem,2022,87922,973,51621,6181.6
201000,Powiat bolesławiecki,ogółem,2023,87642,886,51095,6871.28
201000,Powiat bolesławiecki,ogółem,2024,87255,960,50684,7871.38
201000,Powiat bolesławiecki,mężczyźni,2015,43810,1142,30479,NA
201000,Powiat bolesławiecki,mężczyźni,2016,43783,871,30201,NA
201000,Powiat bolesławiecki,mężczyźni,2017,43804,620,29910,NA
201000,Powiat bolesławiecki,mężczyźni,2018,43798,519,29638,NA
201000,Powiat bolesławiecki,mężczyźni,2019,43739,544,29331,NA
201000,Powiat bolesławiecki,mężczyźni,2020,42966,856,28314,NA
201000,Powiat bolesławiecki,mężczyźni,2021,42798,675,28019,NA
201000,Powiat bolesławiecki,mężczyźni,2022,42656,454,27669,NA
201000,Powiat bolesławiecki,mężczyźni,2023,42477,423,27261,NA
201000,Powiat bolesławiecki,mężczyźni,2024,42244,442,26977,NA
201000,Powiat bolesławiecki,kobiety,2015,46389,1233,26640,NA
201000,Powiat bolesławiecki,kobiety,2016,46397,981,26264,NA
201000,Powiat bolesławiecki,kobiety,2017,46369,769,25876,NA
201000,Powiat bolesławiecki,kobiety,2018,46402,764,25578,NA
201000,Powiat bolesławiecki,kobiety,2019,46364,749,25345,NA
201000,Powiat bolesławiecki,kobiety,2020,45558,1029,24400,NA
201000,Powiat bolesławiecki,kobiety,2021,45477,895,24241,NA
